Old typology,New typology
CAPEC-93: Log Injection-Tampering-Forging,091. Log injection
CAPEC.0242. Code Injection,045. HTML code injection
CAPEC.130. Excessive Allocation,067. Improper resource allocation
CAPEC.223. Employ Probabilistic Techniques,034. Insecure generation of random numbers
CAPEC.242. Code Injection,045. HTML code injection
CAPEC.457. Ataques con memorias USB,104. USB flash drive attacks
CAPEC.509. Kerberoasting,014. Insecure functionality
CAPEC.644. Use of Captured Hashes (Pass The Hash),051. Cracked weak credentials
CAPEC.93. Log Injection-Tampering-Forging,091. Log injection
CWE.0073. External Control of File Name or Path,098. External control of file name or path
CWE.0074. Improper Neutralization of Special Elements in Output Used by a Downstream Component,089. Lack of data validation - Trust boundary violation
CWE.1176. Inefficient CPU Computation,067. Improper resource allocation
CWE.704. Incorrect Type Conversion or Cast,113. Improper type assignation
CWE.863. Incorrect Authorization,006. Authentication mechanism absence or evasion
CWE.90. LDAP injection,107. LDAP injection
CWE.S.0073. External control of file name or path,098. External control of file name or path
CWE.S.444. Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),110. HTTP request smuggling
F001. Inyección,001. SQL injection - C Sharp SQL API
F001. Inyección Apache Lucene Query,105. Apache lucene query injection
F001. Inyección SQL,001. SQL injection - C Sharp SQL API
F001. Inyección SQL - Auditorias,001. SQL injection - C Sharp SQL API
F001. Inyección SQL - Cabeceras,001. SQL injection - C Sharp SQL API
F001. Inyección SQL - Contáctanos,001. SQL injection - C Sharp SQL API
F001. Inyección SQL - Java Persistence API,001. SQL injection - C Sharp SQL API
F001. Inyección SQL - Vinculación Digital Valores.,001. SQL injection - C Sharp SQL API
F001. SQL Injection,001. SQL injection - C Sharp SQL API
F001. SQL injection,001. SQL injection - C Sharp SQL API
F001. SQL injection - Java Persistence API,001. SQL injection - C Sharp SQL API
F001. SQL injection - Java SQL API,001. SQL injection - C Sharp SQL API
F001. Time-based SQL Injection,001. SQL injection - C Sharp SQL API
F002. Asymmetric denial of service,002. Asymmetric denial of service
F002. Asymmetric Denial of Service,002. Asymmetric denial of service
F002. Asymmetric denial of service - revoke group access,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Acceso fisico,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Cerrar sesión,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Consulta de registros,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Consultas,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Content-Length,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Etiquetas,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Inhabilitación de Endpoints,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Login,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Server XSS,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Tablas maestras,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Tiempo de Respuesta,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - Time Line,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica - XML Malformado,002. Asymmetric denial of service
F002. Denegación de servicio asimétrica: Validación de datos,002. Asymmetric denial of service
F002. Denegación de servicio asimétrico,002. Asymmetric denial of service
F002. Denegación de servicio simétrica,002. Asymmetric denial of service
F003. Denegación de servicio simétrica,003. Symmetric denial of service
F003. Denegación de servicio simétrica - Cerrar sesión,003. Symmetric denial of service
F003. Denegación de servicio simétrica - GuardarLogs.,003. Symmetric denial of service
F003. Denegación de servicio simétrica - iOS,003. Symmetric denial of service
F003. Denegación de servicio simétrica - Servicio SMTP,003. Symmetric denial of service
F003. Denegación de servicio simétrica - Slowloris,003. Symmetric denial of service
F003. Denegación de servicio simétrica - Tamaño del archivo-  Apolo,003. Symmetric denial of service
F003. Denegación de servicio simétrica - Transferencia de archivos por SFTP (SSH),003. Symmetric denial of service
F003. Denegación de servicio simétrica - XML Bomb,003. Symmetric denial of service
F004. Ejecución remota de comandos,004. Remote command execution
F004. Ejecución remota de comandos - Axis2,004. Remote command execution
F004. Ejecución remota de comandos - JBOSS,004. Remote command execution
F004. Ejecución remota de comandos - MSSQL,004. Remote command execution
F004. Ejecución remota de comandos - Oracle,004. Remote command execution
F004. Ejecución remota de comandos - XOWIKI,004. Remote command execution
F004. Remote command execution,004. Remote command execution
F004. Remote Command Execution,004. Remote command execution
F005. Elevación de privilegios,005. Privilege escalation
F005. Elevación de privilegios - Docker escape,005. Privilege escalation
F005. Elevación de privilegios - Módulo reportes,005. Privilege escalation
F005. Privilege escalation,005. Privilege escalation
F006. Ausencia o evasión de autenticación,006. Authentication mechanism absence or evasion
F006. Ausencia o evasión de autenticación - Clave Dinámica,006. Authentication mechanism absence or evasion
F006. Ausencia o evasión de autenticación - Login con código de seguridad,006. Authentication mechanism absence or evasion
F006. Ausencia o evasión de autenticación - Protección de booteo y BIOS,006. Authentication mechanism absence or evasion
F006. Ausencia o evasión de autenticación - Segunda Clave,006. Authentication mechanism absence or evasion
F006. Ausencia o evasión de autenticación - SifBranch,006. Authentication mechanism absence or evasion
F006. Ausencia o evasión de autenticación =<h1>asd</h1>,006. Authentication mechanism absence or evasion
F007. Cross site request forgery,007. Cross-site request forgery
F007. Cross site request forgery - Logout,007. Cross-site request forgery
F008. Cross site scripting DOM auto reflejado,008. Reflected cross-site scripting (XSS)
F008. Cross site scripting reflejado,008. Reflected cross-site scripting (XSS)
F008. Cross site scripting reflejado - Eval,008. Reflected cross-site scripting (XSS)
F008. Cross site scripting reflejado - Oracle ERP,008. Reflected cross-site scripting (XSS)
F008. Cross site scripting reflejado - Web,008. Reflected cross-site scripting (XSS)
F008. Reflected Cross Site Scripting,008. Reflected cross-site scripting (XSS)
F008. Reflected cross-site scripting,008. Reflected cross-site scripting (XSS)
F008. Reflected cross-site scripting (XSS),008. Reflected cross-site scripting (XSS)
F008. Reflected cross-site scripting (XSS) - Self XSS,008. Reflected cross-site scripting (XSS)
F009. Informacion sensible almacenada en el código fuente,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente  - AWS,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Android,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Archivos de Pruebas,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Archivos Prueba,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Código fuente,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - credenciales AWS,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Credenciales AWS,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Jfrog,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Llave Repo,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Llaves de firmado,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - Llaves Privadas,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - OAuth,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente - PostgreSQL,009. Sensitive information in source code
F009. Información sensible almacenada en el código fuente -artifactory,009. Sensitive information in source code
F009. Información sensible almacenado en el código fuente - Llave privada,009. Sensitive information in source code
F009. Sensitive information in source code,009. Sensitive information in source code
F009. Source code with sensitive information,009. Sensitive information in source code
F009. Source code with sensitive information - AWS credentials,009. Sensitive information in source code
F010. Cross site scripting almacenado,010. Stored cross-site scripting (XSS)
F010. Stored cross site scripting,010. Stored cross-site scripting (XSS)
F010. Stored Cross site scripting,010. Stored cross-site scripting (XSS)
F010. Stored Cross Site Scripting,010. Stored cross-site scripting (XSS)
F010. Stored cross-site scripting (XSS),010. Stored cross-site scripting (XSS)
F011. Outdated Vulnerable Software,011. Use of software with known vulnerabilities
F011. Software desactualizado con vulnerabilidades,011. Use of software with known vulnerabilities
F011. Use of software with known vulnerabilities,011. Use of software with known vulnerabilities
F011. Use of software with known vulnerabilities - old version of TLS,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - Aplicación Web,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - Código fuente,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - Flash player,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - Ghostcat,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - GlassFish Directory Traversal,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - Máquinas sin actualizaciones,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - TinyMCE,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - versión desactualizada de TLS,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas - Web,011. Use of software with known vulnerabilities
F011. Uso de componentes con vulnerabilidades conocidas.,011. Use of software with known vulnerabilities
F011. Uso de software con vulnerabilidades conocidas,011. Use of software with known vulnerabilities
F012. Acceso a recursos protegidos sin autenticación,006. Authentication mechanism absence or evasion
F012. Acceso a recursos protegidos sin autenticación - Búsqueda de archivos.,006. Authentication mechanism absence or evasion
F012. Acceso a recursos protegidos sin autenticación - Consultas Recepción,006. Authentication mechanism absence or evasion
F012. Acceso a recursos protegidos sin autenticación - Jfrog,006. Authentication mechanism absence or evasion
F012. Acceso a recursos protegidos sin autenticación - Logs,006. Authentication mechanism absence or evasion
F012. Acceso a recursos protegidos sin autenticación - Mensajes de Error,006. Authentication mechanism absence or evasion
F012. Acceso a recursos protegidos sin autenticación - Sif Management Console,006. Authentication mechanism absence or evasion
F012. Acceso a recursos protegidos sin autorización,006. Authentication mechanism absence or evasion
F012. Access to protected resources without authentication,006. Authentication mechanism absence or evasion
F013. Direct Insecure Object Reference,013. Insecure object reference
F013. Insecure direct object reference,013. Insecure object reference
F013. Insecure direct object reference - UserId,013. Insecure object reference
F013. Insecure object reference,013. Insecure object reference
F013. Insecure object reference - [salesPersonId],013. Insecure object reference
F013. Insecure object reference - Drafts access,013. Insecure object reference
F013. Referencia insegura a objetos,013. Insecure object reference
F013. Referencia insegura a objetos - Acceso a módulos,013. Insecure object reference
F013. Referencia insegura a objetos - Agentes,013. Insecure object reference
F013. Referencia insegura a objetos - Agregar contacto,013. Insecure object reference
F013. Referencia insegura a objetos - Alicia,013. Insecure object reference
F013. Referencia insegura a objetos - Aumento Cupo Otro Cliente,013. Insecure object reference
F013. Referencia insegura a objetos - Broken Object Level Authorization,013. Insecure object reference
F013. Referencia insegura a objetos - Cambio de contraseña,013. Insecure object reference
F013. Referencia insegura a objetos - Cambio plan,013. Insecure object reference
F013. Referencia insegura a objetos - Comprobantes de pago,013. Insecure object reference
F013. Referencia insegura a objetos - Contacto de emergencia,013. Insecure object reference
F013. Referencia insegura a objetos - Contactos,013. Insecure object reference
F013. Referencia insegura a objetos - Descarga de archivos,013. Insecure object reference
F013. Referencia insegura a objetos - Empresas,013. Insecure object reference
F013. Referencia insegura a objetos - Gastos y movimientos,013. Insecure object reference
F013. Referencia insegura a objetos - Generación QR,013. Insecure object reference
F013. Referencia insegura a objetos - Gestiones,013. Insecure object reference
F013. Referencia insegura a objetos - Informes,013. Insecure object reference
F013. Referencia insegura a objetos - Liquidación de nómina,013. Insecure object reference
F013. Referencia insegura a objetos - Planilla cotizantes,013. Insecure object reference
F013. Referencia insegura a objetos - Planillas pagadas,013. Insecure object reference
F013. Referencia insegura a objetos - Transferir chats,013. Insecure object reference
F013. Referencia insegura a objetos - Ubicaciones,013. Insecure object reference
F013. Referencia insegura a objetos - UUID,013. Insecure object reference
F013. Referencia insegura a objetos (Login),013. Insecure object reference
F013. Referencia insegura a objetos-documentId-customerId,013. Insecure object reference
F013. Referencia insegura a objetos: Carga de facturas,013. Insecure object reference
F013. Referencia insegura a objetos: Consulta de facturas,013. Insecure object reference
F013. Referencia insegura a objetos: QR Nueva App,013. Insecure object reference
F013. Referencia insegura a objetos: Vinculación de proveedores,013. Insecure object reference
F014. Funcionalidad insegura,014. Insecure functionality
F014. Funcionalidad insegura -  Carga adicional de archivos,014. Insecure functionality
F014. Funcionalidad insegura - Activar/Desactivar cuenta,014. Insecure functionality
F014. Funcionalidad insegura - Actualización QR,014. Insecure functionality
F014. Funcionalidad insegura - Adjunto de archivos,014. Insecure functionality
F014. Funcionalidad insegura - Agregar ubicaciones,014. Insecure functionality
F014. Funcionalidad insegura - Alertas cerradas,014. Insecure functionality
F014. Funcionalidad insegura - Asignación de contraseña,014. Insecure functionality
F014. Funcionalidad insegura - Bucle de redirección,014. Insecure functionality
F014. Funcionalidad insegura - Bypass de validación certificación,014. Insecure functionality
F014. Funcionalidad insegura - Bypass detección root,014. Insecure functionality
F014. Funcionalidad insegura - Bypass Historia clínica,014. Insecure functionality
F014. Funcionalidad insegura - Bypass políticas de sesión,014. Insecure functionality
F014. Funcionalidad insegura - Bypass sesiones concurrentes,014. Insecure functionality
F014. Funcionalidad insegura - Cabecera X-XSS-Protection,135. Insecure or unset HTTP headers - X-XSS Protection
F014. Funcionalidad insegura - Cambio contraseña,014. Insecure functionality
F014. Funcionalidad insegura - Cambio de clave,014. Insecure functionality
F014. Funcionalidad insegura - Cambio de contraseña sin token,014. Insecure functionality
F014. Funcionalidad insegura - Cambio de información no permitida,014. Insecure functionality
F014. Funcionalidad insegura - Cambio de Productos,014. Insecure functionality
F014. Funcionalidad insegura - Código de recuperación,014. Insecure functionality
F014. Funcionalidad insegura - Código de verificación,014. Insecure functionality
F014. Funcionalidad insegura - Correo externo,014. Insecure functionality
F014. Funcionalidad insegura - Creación de archivos,014. Insecure functionality
F014. Funcionalidad insegura - Credenciales en headers,014. Insecure functionality
F014. Funcionalidad insegura - Débito Automático,014. Insecure functionality
F014. Funcionalidad insegura - Diario SifBranch,014. Insecure functionality
F014. Funcionalidad insegura - Doble uso de código de seguridad,014. Insecure functionality
F014. Funcionalidad insegura - Ejecución dinámica de código,014. Insecure functionality
F014. Funcionalidad insegura - email flooding,122. Email flooding
F014. Funcionalidad insegura - Email Flooding,122. Email flooding
F014. Funcionalidad insegura - Email flooding,122. Email flooding
F014. Funcionalidad insegura - Enmascaramiento,014. Insecure functionality
F014. Funcionalidad insegura - Envío de Correos,014. Insecure functionality
F014. Funcionalidad insegura - Envío de OTP,014. Insecure functionality
F014. Funcionalidad insegura - Envío de URLS,014. Insecure functionality
F014. Funcionalidad insegura - Envío de URLs,014. Insecure functionality
F014. Funcionalidad insegura - envío masivo de mensajes de contacto,014. Insecure functionality
F014. Funcionalidad insegura - Exportar a excel,014. Insecure functionality
F014. Funcionalidad insegura - Forzar Asesoría,014. Insecure functionality
F014. Funcionalidad insegura - Generar archivo,014. Insecure functionality
F014. Funcionalidad insegura - Generar OTP,014. Insecure functionality
F014. Funcionalidad insegura - Header X-XSS-Protection,135. Insecure or unset HTTP headers - X-XSS Protection
F014. Funcionalidad insegura - Hostid,014. Insecure functionality
F014. Funcionalidad insegura - Huella,014. Insecure functionality
F014. Funcionalidad insegura - Huellas Digitales,014. Insecure functionality
F014. Funcionalidad insegura - Imagen de seguridad,014. Insecure functionality
F014. Funcionalidad insegura - Inscripciones sin restricción,014. Insecure functionality
F014. Funcionalidad insegura - Integridad de IP,014. Insecure functionality
F014. Funcionalidad insegura - Inyección CSV,090. CSV injection
F014. Funcionalidad insegura - Inyección de Headers,121. HTTP parameter pollution
F014. Funcionalidad insegura - Inyección de parámetros,121. HTTP parameter pollution
F014. Funcionalidad insegura - Life Coach,014. Insecure functionality
F014. Funcionalidad insegura - Mensaje de error,014. Insecure functionality
F014. Funcionalidad insegura - Modificación de monto de pagos,014. Insecure functionality
F014. Funcionalidad insegura - Modificar información no permitida,014. Insecure functionality
F014. Funcionalidad insegura - Moneda representada con float,014. Insecure functionality
F014. Funcionalidad insegura - Múltiples Usuarios,014. Insecure functionality
F014. Funcionalidad insegura - otp transferencia,014. Insecure functionality
F014. Funcionalidad insegura - Path Traversal,063. Lack of data validation - Path Traversal
F014. Funcionalidad insegura - Recursos no liberados,067. Improper resource allocation
F014. Funcionalidad insegura - Redireccion,023. Uncontrolled external site redirect - Host Header Injection
F014. Funcionalidad insegura - RegEX,014. Insecure functionality
F014. Funcionalidad insegura - Registro Drupal,014. Insecure functionality
F014. Funcionalidad insegura - Reutilización de cupones,014. Insecure functionality
F014. Funcionalidad insegura - Reverso a otras cuentas,014. Insecure functionality
F014. Funcionalidad insegura - Reverso de dinero,014. Insecure functionality
F014. Funcionalidad insegura - Salida del Sistema,014. Insecure functionality
"F014. Funcionalidad insegura - SMS, Whatsapp flooding",122. Email flooding
F014. Funcionalidad insegura - Subida de archivos,014. Insecure functionality
F014. Funcionalidad insegura - Token de sesión en JS,014. Insecure functionality
F014. Funcionalidad insegura - Transferencia,014. Insecure functionality
F014. Funcionalidad insegura - Transferencias,014. Insecure functionality
F014. Funcionalidad insegura - URL Shortener,014. Insecure functionality
